Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,131161,-,-,-,38.53,-121.74,-8,17,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.0.6
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Fill Flag,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm),,,,,,,,,,,,,,,,,,,,,,
2017,1,1,0,30,0,0,0,0,0,0,1,4,163.89,0,0.139,2,1.214,225.1,100,5,1010,0,0,N/A,,,,,,,,,,,,,,,,,,,,,
2017,1,1,1,30,0,0,0,0,0,0,1,4,157,0,0.139,1.6,1.16,217.2,100,5,1010,0,0,N/A,,,,,,,,,,,,,,,,,,,,,
2017,1,1,2,30,0,0,0,0,0,0,1,4,146.52,0,0.139,1.4,1.073,208.7,100,5,1010,0,0,N/A,,,,,,,,,,,,,,,,,,,,,
2017,1,1,3,30,0,0,0,0,0,0,1,4,135.03,0,0.139,1.2,0.975,206.3,100,5,1010,0,0,N/A,,,,,,,,,,,,,,,,,,,,,
2017,1,1,4,30,0,0,0,0,0,0,1,4,123.31,0,0.139,1.2,0.878,210.8,100,6,1010,0,0,N/A,,,,,,,,,,,,,,,,,,,,,
2017,1,1,5,30,0,0,0,0,0,0,3,4,111.72,0,0.139,1.1,0.796,224.9,100,5,1010,0,0,N/A,,,,,,,,,,,,,,,,,,,,,
2017,1,1,6,30,0,0,0,0,0,0,4,4,100.5,0,0.139,1,0.752,239.7,100,5,1010,0,0,N/A,,,,,,,,,,,,,,,,,,,,,
2017,1,1,7,30,0,0,0,0,0,0,1,4,89.91,0,0.139,1.2,0.728,250.1,100,5,1010,0,0,N/A,,,,,,,,,,,,,,,,,,,,,
2017,1,1,8,30,53,481,134,53,481,134,4,4,80.29,4,0.139,1.6,0.713,256.2,98.81,5,1010,0,0,N/A,,,,,,,,,,,,,,,,,,,,,
2017,1,1,9,30,71,0,71,75,693,288,4,4,72.08,4,0.139,1.6,0.714,263,98.28,6,1010,3.5662,2.7538,N/A,,,,,,,,,,,,,,,,,,,,,
2017,1,1,10,30,86,0,86,87,784,408,4,4,65.84,0,0.139,1.8,0.726,259.3,85.13,7,1010,4.5582,3.5454,N/A,,,,,,,,,,,,,,,,,,,,,
2017,1,1,11,30,120,0,120,96,816,476,4,4,62.2,0,0.139,2.1,0.735,264.7,78.04,8,1010,6.5264,5.0905,N/A,,,,,,,,,,,,,,,,,,,,,
2017,1,1,12,30,197,308,344,94,829,488,8,3,61.62,0,0.139,2.2,0.734,274.2,69.91,9,1010,18.7787,14.6527,N/A,,,,,,,,,,,,,,,,,,,,,
2017,1,1,13,30,92,795,438,92,795,438,1,3,64.19,0,0.139,2.1,0.738,278.5,61.83,10,1010,23.5002,18.3038,N/A,,,,,,,,,,,,,,,,,,,,,
2017,1,1,14,30,78,736,335,78,736,335,1,2,69.56,0,0.139,1.8,0.764,272,63.52,10,1000,17.2172,13.3401,N/A,,,,,,,,,,,,,,,,,,,,,
2017,1,1,15,30,58,603,192,58,603,192,8,3,77.13,4,0.139,1.4,0.806,255.3,78.17,8,1000,9.2341,7.0686,N/A,,,,,,,,,,,,,,,,,,,,,
2017,1,1,16,30,25,255,41,25,255,41,2,4,86.29,4,0.139,1.5,0.839,233.1,94.16,6,1000,0,0,N/A,,,,,,,,,,,,,,,,,,,,,
2017,1,1,17,30,0,0,0,0,0,0,4,3,96.57,0,0.139,2.1,0.854,232.8,93.25,5,1010,0,0,N/A,,,,,,,,,,,,,,,,,,,,,
2017,1,1,18,30,0,0,0,0,0,0,4,3,107.6,0,0.139,2.6,0.843,236.3,95.65,4,1010,0,0,N/A,,,,,,,,,,,,,,,,,,,,,
2017,1,1,19,30,0,0,0,0,0,0,1,2,119.08,0,0.139,2.5,0.81,239.6,100,4,1010,0,0,N/A,,,,,,,,,,,,,,,,,,,,,
2017,1,1,20,30,0,0,0,0,0,0,1,2,130.78,0,0.139,2.2,0.784,239.7,100,3,1010,0,0,N/A,,,,,,,,,,,,,,,,,,,,,
2017,1,1,21,30,0,0,0,0,0,0,4,2,142.41,0,0.139,1.9,0.789,238.9,100,2,1010,0,0,N/A,,,,,,,,,,,,,,,,,,,,,
2017,1,1,22,30,0,0,0,0,0,0,1,2,153.39,0,0.139,1.7,0.822,233.7,100,2,1010,0,0,N/A,,,,,,,,,,,,,,,,,,,,,
2017,1,1,23,30,0,0,0,0,0,0,1,2,162.07,0,0.139,1.6,0.864,229.4,100,2,1010,0,0,N/A,,,,,,,,,,,,,,,,,,,,,
2017,1,2,0,30,0,0,0,0,0,0,4,2,163.83,0,0.139,1.5,0.899,228.6,100,2,1010,0,0,N/A,,,,,,,,,,,,,,,,,,,,,
2017,1,2,1,30,0,0,0,0,0,0,4,2,157.01,0,0.139,1.4,0.924,227.5,100,2,1010,0,0,N/A,,,,,,,,,,,,,,,,,,,,,
2017,1,2,2,30,0,0,0,0,0,0,4,2,146.56,0,0.139,1.4,0.946,225.5,100,2,1010,0,0,N/A,,,,,,,,,,,,,,,,,,,,,
2017,1,2,3,30,0,0,0,0,0,0,4,1,135.07,1,0.139,1.3,0.971,220.2,100,2,1010,0,0,N/A,,,,,,,,,,,,,,,,,,,,,
