Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,131161,-,-,-,38.53,-121.74,-8,17,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.1.1
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Fill Flag,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm),,,,,,,,,,,,,,,,,,,,,,
2019,1,2,2,30,0,0,0,0,0,0,0,-1.5,146.53,0,0.13,1,1,6,82,1.2,1023,0,0,N/A,,,,,,,,,,,,,,,,,,,,,
2019,1,2,3,30,0,0,0,0,0,0,0,-2.4,135.05,0,0.13,1,1,8,79.95,0.7,1023,0,0,N/A,,,,,,,,,,,,,,,,,,,,,
2019,1,2,4,30,0,0,0,0,0,0,0,-3.1,123.33,0,0.13,1,1,5,78.33,0.2,1023,0,0,N/A,,,,,,,,,,,,,,,,,,,,,
2019,1,2,5,30,0,0,0,0,0,0,0,-3.7,111.74,0,0.13,1,1,4,77.95,-0.3,1023,0,0,N/A,,,,,,,,,,,,,,,,,,,,,
2019,1,2,6,30,0,0,0,0,0,0,0,-4.1,100.51,0,0.13,1,1,5,76.28,-0.4,1024,0,0,N/A,,,,,,,,,,,,,,,,,,,,,
2019,1,2,7,30,7,59,8,10,127,11,4,-4,89.43,32,0.13,1.2,1,6,69.1,1,1024,0,0,N/A,,,,,,,,,,,,,,,,,,,,,
2019,1,2,8,30,55,326,110,37,637,145,4,-2.5,80.2,68,0.13,1.3,1,181,64.41,3.6,1025,0,0,N/A,,,,,,,,,,,,,,,,,,,,,
2019,1,2,9,30,50,803,298,50,803,298,0,-2.4,72.03,0,0.13,1.3,1,355,53.94,6.2,1025,14.9748,11.5643,N/A,,,,,,,,,,,,,,,,,,,,,
2019,1,2,10,30,58,871,415,58,871,415,0,-1.9,65.79,0,0.13,1.4,1.1,177,47.97,8.5,1025,22.0042,17.1159,N/A,,,,,,,,,,,,,,,,,,,,,
2019,1,2,11,30,62,902,484,62,902,484,0,-1.2,62.14,0,0.13,1.3,1.1,10,44.95,10.2,1024,26.3333,20.5405,N/A,,,,,,,,,,,,,,,,,,,,,
2019,1,2,12,30,65,901,494,65,901,494,0,-0.4,61.55,0,0.13,1.4,1.1,28,43.98,11.4,1023,26.9791,21.0522,N/A,,,,,,,,,,,,,,,,,,,,,
2019,1,2,13,30,66,869,445,66,869,445,0,0.3,64.11,0,0.13,1.5,1.1,39,44.75,11.9,1023,23.8894,18.608,N/A,,,,,,,,,,,,,,,,,,,,,
2019,1,2,14,30,60,804,342,60,804,342,0,0.8,69.47,0,0.13,1.2,1.2,47,47.41,11.6,1022,17.5909,13.6311,N/A,,,,,,,,,,,,,,,,,,,,,
2019,1,2,15,30,48,671,199,48,671,199,0,2,77.01,0,0.13,0.9,1.2,51,53.29,11.2,1022,9.5783,7.3338,N/A,,,,,,,,,,,,,,,,,,,,,
2019,1,2,16,30,25,332,48,25,332,48,0,2.2,86.04,0,0.13,0.5,1.2,94,65.88,8.2,1023,0,0,N/A,,,,,,,,,,,,,,,,,,,,,
2019,1,2,17,30,0,0,0,0,0,0,0,0.7,96.52,0,0.13,0.6,1.2,113,63.21,7.2,1023,0,0,N/A,,,,,,,,,,,,,,,,,,,,,
2019,1,2,18,30,0,0,0,0,0,0,0,0.7,107.54,0,0.13,0.7,1.2,121,65.43,6.7,1023,0,0,N/A,,,,,,,,,,,,,,,,,,,,,
2019,1,2,19,30,0,0,0,0,0,0,0,0.6,119.03,0,0.13,0.7,1.2,125,66.38,6.4,1023,0,0,N/A,,,,,,,,,,,,,,,,,,,,,
2019,1,2,20,30,0,0,0,0,0,0,0,0.3,130.73,0,0.13,0.6,1.2,128,65.27,6.3,1023,0,0,N/A,,,,,,,,,,,,,,,,,,,,,
2019,1,2,21,30,0,0,0,0,0,0,0,0.1,142.35,0,0.13,0.4,1.3,115,64.35,6.3,1023,0,0,N/A,,,,,,,,,,,,,,,,,,,,,
2019,1,2,22,30,0,0,0,0,0,0,0,0.1,153.33,0,0.13,0.4,1.3,84,64.81,6.2,1023,0,0,N/A,,,,,,,,,,,,,,,,,,,,,
2019,1,2,23,30,0,0,0,0,0,0,0,0.1,162,0,0.13,0.6,1.3,69,68.44,5.5,1023,0,0,N/A,,,,,,,,,,,,,,,,,,,,,
2019,1,3,0,30,0,0,0,0,0,0,0,0.2,163.79,0,0.13,0.7,1.2,71,72.93,4.6,1023,0,0,N/A,,,,,,,,,,,,,,,,,,,,,
2019,1,3,1,30,0,0,0,0,0,0,0,0.1,157,0,0.13,0.8,1.2,59,75.26,4.1,1023,0,0,N/A,,,,,,,,,,,,,,,,,,,,,
2019,1,3,2,30,0,0,0,0,0,0,0,0.1,146.57,0,0.13,0.9,1.2,39,76.58,3.8,1023,0,0,N/A,,,,,,,,,,,,,,,,,,,,,
2019,1,3,3,30,0,0,0,0,0,0,4,0.1,135.09,0,0.13,1,1.2,29,79.23,3.4,1023,0,0,N/A,,,,,,,,,,,,,,,,,,,,,
2019,1,3,4,30,0,0,0,0,0,0,7,0.3,123.37,0,0.13,1,1.2,28,81.83,3.1,1023,0,0,N/A,,,,,,,,,,,,,,,,,,,,,
2019,1,3,5,30,0,0,0,0,0,0,0,0.4,111.77,0,0.13,0.9,1.2,16,84.04,2.8,1023,0,0,N/A,,,,,,,,,,,,,,,,,,,,,
2019,1,3,6,30,0,0,0,0,0,0,0,0.4,100.54,0,0.13,1,1.1,178,87.13,2.3,1023,0,0,N/A,,,,,,,,,,,,,,,,,,,,,
2019,1,3,7,30,8,51,8,9,79,10,0,0.5,89.45,18,0.13,1,1.1,351,84.5,2.9,1024,0,0,N/A,,,,,,,,,,,,,,,,,,,,,
2019,1,3,8,30,54,359,115,46,547,139,0,1.6,80.2,50,0.13,1.5,1.1,178,79.48,4.9,1024,0,0,N/A,,,,,,,,,,,,,,,,,,,,,
2019,1,3,9,30,88,499,242,62,743,292,7,2,72,14,0.13,1.8,1.1,21,68.34,7.5,1024,12.1641,9.3942,N/A,,,,,,,,,,,,,,,,,,,,,
2019,1,3,10,30,125,516,337,69,837,413,7,2,65.74,100,0.13,1.7,1.1,53,57.29,10.1,1023,17.8753,13.9049,N/A,,,,,,,,,,,,,,,,,,,,,
2019,1,3,11,30,73,877,484,73,877,484,0,1.4,62.06,43,0.13,1.7,1,68,49.46,11.6,1022,26.3469,20.5522,N/A,,,,,,,,,,,,,,,,,,,,,
2019,1,3,12,30,134,604,423,75,878,495,7,1.3,61.45,46,0.13,1.6,1,63,48.59,11.8,1021,23.1161,18.0389,N/A,,,,,,,,,,,,,,,,,,,,,
2019,1,3,13,30,162,382,330,74,847,445,7,1.5,63.99,0,0.13,1.1,1.1,46,51.31,11.2,1020,17.7308,13.8122,N/A,,,,,,,,,,,,,,,,,,,,,
2019,1,3,14,30,135,280,234,65,793,345,7,3.1,69.33,0,0.13,0.9,1,25,59.21,10.7,1019,12.0507,9.3396,N/A,,,,,,,,,,,,,,,,,,,,,
2019,1,3,15,30,78,302,147,51,669,203,7,3.6,76.87,100,0.13,1,1,16,62.45,10.5,1019,7.0822,5.424,N/A,,,,,,,,,,,,,,,,,,,,,
2019,1,3,16,30,25,96,32,26,346,51,4,3.6,85.9,100,0.14,0.9,1,5,77.95,7.2,1019,0,0,N/A,,,,,,,,,,,,,,,,,,,,,
2019,1,3,17,30,0,0,0,0,0,0,7,2.4,96.38,0,0.14,1,0.9,180,77.08,6.1,1019,0,0,N/A,,,,,,,,,,,,,,,,,,,,,
2019,1,3,18,30,0,0,0,0,0,0,7,2.4,107.4,0,0.14,1,0.9,356,78.51,5.8,1019,0,0,N/A,,,,,,,,,,,,,,,,,,,,,
2019,1,3,19,30,0,0,0,0,0,0,7,2.2,118.88,0,0.14,1,0.9,353,78.34,5.7,1019,0,0,N/A,,,,,,,,,,,,,,,,,,,,,
2019,1,3,20,30,0,0,0,0,0,0,7,2.3,130.58,0,0.14,0.9,0.9,352,77.86,5.9,1019,0,0,N/A,,,,,,,,,,,,,,,,,,,,,
2019,1,3,21,30,0,0,0,0,0,0,7,2.5,142.2,0,0.14,0.8,0.9,181,77.07,6.2,1019,0,0,N/A,,,,,,,,,,,,,,,,,,,,,
2019,1,3,22,30,0,0,0,0,0,0,7,2.6,153.18,0,0.14,0.8,1,26,77.83,6.2,1018,0,0,N/A,,,,,,,,,,,,,,,,,,,,,
2019,1,3,23,30,0,0,0,0,0,0,7,2.7,161.86,0,0.14,0.8,1,53,79.65,6,1018,0,0,N/A,,,,,,,,,,,,,,,,,,,,,
2019,1,4,0,30,0,0,0,0,0,0,0,2.8,163.72,0,0.14,0.9,0.9,69,81.91,5.6,1018,0,0,N/A,,,,,,,,,,,,,,,,,,,,,
2019,1,4,1,30,0,0,0,0,0,0,7,2.6,157,0,0.14,0.9,0.9,66,83.41,5.2,1018,0,0,N/A,,,,,,,,,,,,,,,,,,,,,
2019,1,4,2,30,0,0,0,0,0,0,7,2.4,146.59,0,0.14,0.8,0.9,53,83.98,4.9,1017,0,0,N/A,,,,,,,,,,,,,,,,,,,,,
2019,1,4,3,30,0,0,0,0,0,0,7,2.3,135.12,0,0.14,0.8,0.9,40,86.09,4.4,1017,0,0,N/A,,,,,,,,,,,,,,,,,,,,,
2019,1,4,4,30,0,0,0,0,0,0,7,2.1,123.41,0,0.14,0.8,0.9,35,88.32,3.9,1016,0,0,N/A,,,,,,,,,,,,,,,,,,,,,
2019,1,4,5,30,0,0,0,0,0,0,7,2.1,111.8,0,0.14,0.8,1,28,89.12,3.7,1016,0,0,N/A,,,,,,,,,,,,,,,,,,,,,
2019,1,4,6,30,0,0,0,0,0,0,7,2,100.56,0,0.14,0.8,1,19,90.07,3.5,1016,0,0,N/A,,,,,,,,,,,,,,,,,,,,,
2019,1,4,7,30,8,49,8,9,85,10,7,2.1,89.46,43,0.14,1,1,13,86.65,4.1,1016,0,0,N/A,,,,,,,,,,,,,,,,,,,,,
2019,1,4,8,30,58,260,102,46,560,141,8,2.8,80.19,100,0.14,1.3,1,15,81.8,5.7,1017,0,0,N/A,,,,,,,,,,,,,,,,,,,,,
2019,1,4,9,30,92,498,246,62,753,295,0,3,71.97,21,0.14,1.3,0.9,34,72.41,7.6,1016,12.3686,9.5525,N/A,,,,,,,,,,,,,,,,,,,,,
2019,1,4,10,30,108,597,354,70,843,417,7,2.6,65.69,68,0.14,1.1,0.9,63,62.78,9.3,1016,18.7842,14.6125,N/A,,,,,,,,,,,,,,,,,,,,,
2019,1,4,11,30,133,588,409,73,883,488,7,2.7,61.98,39,0.14,0.9,0.9,85,57.91,10.6,1015,22.2758,17.3773,N/A,,,,,,,,,,,,,,,,,,,,,
2019,1,4,12,30,75,884,499,75,884,499,0,2.7,61.34,0,0.14,0.8,0.9,105,54.89,11.5,1014,27.2881,21.2961,N/A,,,,,,,,,,,,,,,,,,,,,
2019,1,4,13,30,92,760,427,75,854,451,0,3,63.86,18,0.14,0.8,0.9,120,53.28,12.2,1013,22.9636,17.8903,N/A,,,,,,,,,,,,,,,,,,,,,
2019,1,4,14,30,72,753,340,66,796,349,0,2.7,69.19,7,0.14,0.6,0.9,128,51.89,12.3,1012,17.5311,13.5893,N/A,,,,,,,,,,,,,,,,,,,,,
2019,1,4,15,30,52,664,205,52,664,205,0,3.7,76.72,0,0.14,0.4,0.9,127,56.42,12.1,1012,9.8869,7.5741,N/A,,,,,,,,,,,,,,,,,,,,,
2019,1,4,16,30,27,327,51,27,327,51,0,2.8,85.76,0,0.13,0.6,1,354,66.44,8.7,1012,0,0,N/A,,,,,,,,,,,,,,,,,,,,,
2019,1,4,17,30,0,0,0,0,0,0,0,2,96.23,0,0.13,1,1,350,71.49,6.8,1012,0,0,N/A,,,,,,,,,,,,,,,,,,,,,
2019,1,4,18,30,0,0,0,0,0,0,0,2.1,107.25,0,0.13,1,1,351,76.88,5.8,1012,0,0,N/A,,,,,,,,,,,,,,,,,,,,,
2019,1,4,19,30,0,0,0,0,0,0,8,1.9,118.74,0,0.13,1,1,176,78.41,5.4,1011,0,0,N/A,,,,,,,,,,,,,,,,,,,,,
2019,1,4,20,30,0,0,0,0,0,0,7,1.9,130.44,0,0.13,0.8,1.1,1,76.45,5.7,1011,0,0,N/A,,,,,,,,,,,,,,,,,,,,,
2019,1,4,21,30,0,0,0,0,0,0,7,1.8,142.06,0,0.13,0.5,1.1,156,72.13,6.5,1010,0,0,N/A,,,,,,,,,,,,,,,,,,,,,
2019,1,4,22,30,0,0,0,0,0,0,0,1.6,153.03,0,0.13,0.3,1.1,267,70.03,6.7,1010,0,0,N/A,,,,,,,,,,,,,,,,,,,,,
2019,1,4,23,30,0,0,0,0,0,0,7,1.4,161.72,0,0.13,0.5,1.1,201,70,6.5,1009,0,0,N/A,,,,,,,,,,,,,,,,,,,,,
2019,1,5,0,30,0,0,0,0,0,0,8,1.3,163.63,0,0.13,0.7,1.2,164,71.28,6.1,1009,0,0,N/A,,,,,,,,,,,,,,,,,,,,,
2019,1,5,1,30,0,0,0,0,0,0,7,1.4,156.99,0,0.13,0.9,1.2,145,74.49,5.6,1009,0,0,N/A,,,,,,,,,,,,,,,,,,,,,
2019,1,5,2,30,0,0,0,0,0,0,7,1.8,146.61,0,0.13,1,1.3,143,78.67,5.2,1008,0,0,N/A,,,,,,,,,,,,,,,,,,,,,
2019,1,5,3,30,0,0,0,0,0,0,7,2.4,135.15,0,0.13,1.3,1.3,142,82.08,5.2,1008,0,0,N/A,,,,,,,,,,,,,,,,,,,,,
2019,1,5,4,30,0,0,0,0,0,0,8,3.1,123.44,0,0.13,1.8,1.4,137,84.1,5.6,1007,0,0,N/A,,,,,,,,,,,,,,,,,,,,,
2019,1,5,5,30,0,0,0,0,0,0,6,4.1,111.83,0,0.13,2.9,1.6,135,85.63,6.3,1006,0,0,N/A,,,,,,,,,,,,,,,,,,,,,
2019,1,5,6,30,0,0,0,0,0,0,7,4.8,100.58,0,0.13,3.9,1.8,136,86.62,6.9,1006,0,0,N/A,,,,,,,,,,,,,,,,,,,,,
2019,1,5,7,30,5,21,5,9,86,10,7,5.1,89.47,43,0.13,4.3,2,138,86.54,7.2,1005,0,0,N/A,,,,,,,,,,,,,,,,,,,,,
2019,1,5,8,30,45,2,45,43,546,136,7,5.5,80.18,100,0.13,4.7,2.2,142,84.46,8,1005,0,0,N/A,,,,,,,,,,,,,,,,,,,,,
2019,1,5,9,30,48,0,48,59,726,284,7,6.6,71.94,0,0.13,5.2,2.2,150,83.11,9.3,1005,2.4141,1.8645,N/A,,,,,,,,,,,,,,,,,,,,,
2019,1,5,10,30,57,0,57,67,808,401,7,7.9,65.62,0,0.13,5.7,2.2,155,82.94,10.7,1004,3.0262,2.3543,N/A,,,,,,,,,,,,,,,,,,,,,
2019,1,5,11,30,100,1,100,74,842,471,6,9.1,61.89,0,0.13,6.1,2.1,155,84.07,11.7,1003,5.4495,4.2514,N/A,,,,,,,,,,,,,,,,,,,,,
2019,1,5,12,30,55,0,55,76,843,482,6,9.9,61.22,0,0.13,6.4,2,155,84.28,12.5,1003,3.01,2.3492,N/A,,,,,,,,,,,,,,,,,,,,,
2019,1,5,13,30,50,0,50,76,810,435,6,10.3,63.72,0,0.13,6.8,2,158,84.13,12.9,1002,2.6916,2.0972,N/A,,,,,,,,,,,,,,,,,,,,,
2019,1,5,14,30,43,0,43,76,717,332,9,10.1,69.05,0,0.13,7,2,166,83.47,12.8,1003,2.2199,1.721,N/A,,,,,,,,,,,,,,,,,,,,,
2019,1,5,15,30,14,0,14,64,543,190,6,10.2,76.57,100,0.13,6.9,2.1,170,85.77,12.5,1003,0.6759,0.518,N/A,,,,,,,,,,,,,,,,,,,,,
2019,1,5,16,30,13,16,14,34,138,45,4,10.5,85.62,100,0.14,5.8,2,194,92.14,11.7,1004,0,0,N/A,,,,,,,,,,,,,,,,,,,,,
2019,1,5,17,30,0,0,0,0,0,0,4,10,96.08,0,0.14,4.9,1.9,212,94.25,10.9,1005,0,0,N/A,,,,,,,,,,,,,,,,,,,,,
2019,1,5,18,30,0,0,0,0,0,0,4,9.1,107.1,0,0.14,3.9,1.7,224,93.84,10,1007,0,0,N/A,,,,,,,,,,,,,,,,,,,,,
2019,1,5,19,30,0,0,0,0,0,0,0,8.2,118.59,0,0.14,2.9,1.5,228,95.41,8.9,1008,0,0,N/A,,,,,,,,,,,,,,,,,,,,,
2019,1,5,20,30,0,0,0,0,0,0,0,7.5,130.29,0,0.14,2.2,1.4,227,97.28,7.9,1009,0,0,N/A,,,,,,,,,,,,,,,,,,,,,
2019,1,5,21,30,0,0,0,0,0,0,0,6.9,141.91,0,0.14,1.8,1.2,220,100,6.9,1010,0,0,N/A,,,,,,,,,,,,,,,,,,,,,
2019,1,5,22,30,0,0,0,0,0,0,4,6.2,152.88,0,0.14,1.7,1.2,211,100,6.2,1010,0,0,N/A,,,,,,,,,,,,,,,,,,,,,
2019,1,5,23,30,0,0,0,0,0,0,4,5.8,161.57,0,0.14,1.7,1.2,203,100,5.8,1010,0,0,N/A,,,,,,,,,,,,,,,,,,,,,
2019,1,6,0,30,0,0,0,0,0,0,0,5.8,163.54,0,0.14,1.7,1.3,197,100,5.8,1010,0,0,N/A,,,,,,,,,,,,,,,,,,,,,
2019,1,6,1,30,0,0,0,0,0,0,4,6,156.97,0,0.14,1.7,1.4,189,99.57,6.1,1011,0,0,N/A,,,,,,,,,,,,,,,,,,,,,
2019,1,6,2,30,0,0,0,0,0,0,7,6.1,146.63,0,0.14,1.7,1.4,180,99.75,6.1,1011,0,0,N/A,,,,,,,,,,,,,,,,,,,,,
2019,1,6,3,30,0,0,0,0,0,0,7,5.8,135.18,0,0.14,2,1.5,173,97.24,6.2,1011,0,0,N/A,,,,,,,,,,,,,,,,,,,,,
2019,1,6,4,30,0,0,0,0,0,0,7,6,123.46,0,0.14,2.5,1.6,165,96.22,6.6,1011,0,0,N/A,,,,,,,,,,,,,,,,,,,,,
2019,1,6,5,30,0,0,0,0,0,0,6,6.2,111.85,0,0.14,3.1,1.7,157,96.06,6.8,1011,0,0,N/A,,,,,,,,,,,,,,,,,,,,,
2019,1,6,6,30,0,0,0,0,0,0,7,6.2,100.59,0,0.14,3.8,1.8,152,96.22,6.8,1011,0,0,N/A,,,,,,,,,,,,,,,,,,,,,
2019,1,6,7,30,4,6,4,9,35,9,7,6.2,89.47,43,0.14,4.4,1.8,150,94.75,7,1011,0,0,N/A,,,,,,,,,,,,,,,,,,,,,
2019,1,6,8,30,34,0,34,55,425,128,6,6.5,80.16,100,0.14,4.9,1.9,151,92.58,7.6,1011,0,0,N/A,,,,,,,,,,,,,,,,,,,,,
2019,1,6,9,30,34,0,34,79,626,274,8,7,71.89,0,0.14,5.4,2,153,91.05,8.4,1010,1.7108,1.3214,N/A,,,,,,,,,,,,,,,,,,,,,
2019,1,6,10,30,74,0,74,89,735,393,8,7.7,65.55,0,0.14,6,2,157,91.07,9.1,1009,3.9308,3.0582,N/A,,,,,,,,,,,,,,,,,,,,,
2019,1,6,11,30,60,0,60,87,797,464,6,8.1,61.79,0,0.14,6.6,2.1,161,91.13,9.5,1008,3.2718,2.5527,N/A,,,,,,,,,,,,,,,,,,,,,
2019,1,6,12,30,95,0,95,88,800,475,8,8.3,61.09,0,0.14,6.9,2.2,165,89.84,9.9,1007,5.2032,4.0613,N/A,,,,,,,,,,,,,,,,,,,,,
2019,1,6,13,30,73,1,73,88,765,428,6,8.7,63.58,0,0.14,6.9,2.2,168,89.64,10.3,1007,3.9336,3.0652,N/A,,,,,,,,,,,,,,,,,,,,,
2019,1,6,14,30,42,7,45,77,705,331,6,9,68.89,0,0.14,6.3,2.3,171,90.49,10.5,1006,2.3264,1.8039,N/A,,,,,,,,,,,,,,,,,,,,,
