Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,131161,-,-,-,38.53,-121.74,-8,17,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.0.6
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Fill Flag,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm),,,,,,,,,,,,,,,,,,,,,,
2016,1,1,0,30,0,0,0,0,0,0,1,-4,163.93,0,0.135,1.3,0.685,359.1,77.41,-1,1010,0,0,N/A,,,,,,,,,,,,,,,,,,,,,
2016,1,1,1,30,0,0,0,0,0,0,1,-4,156.99,0,0.135,1.2,0.713,0.4,74.93,-1,1010,0,0,N/A,,,,,,,,,,,,,,,,,,,,,
2016,1,1,2,30,0,0,0,0,0,0,4,-5,146.49,0,0.135,1.2,0.731,0.1,78.43,-1,1010,0,0,N/A,,,,,,,,,,,,,,,,,,,,,
2016,1,1,3,30,0,0,0,0,0,0,4,-5,134.99,0,0.135,1.2,0.735,355.7,72.19,-1,1010,0,0,N/A,,,,,,,,,,,,,,,,,,,,,
2016,1,1,4,30,0,0,0,0,0,0,4,-5,123.27,0,0.135,1.3,0.731,352,72.74,-1,1010,0,0,N/A,,,,,,,,,,,,,,,,,,,,,
2016,1,1,5,30,0,0,0,0,0,0,4,-5,111.68,0,0.135,1.4,0.726,351.9,73.37,-1,1010,0,0,N/A,,,,,,,,,,,,,,,,,,,,,
2016,1,1,6,30,0,0,0,0,0,0,1,-5,100.47,0,0.135,1.4,0.724,352.6,73.8,-1,1020,0,0,N/A,,,,,,,,,,,,,,,,,,,,,
2016,1,1,7,30,0,0,0,0,0,0,4,-4,89.89,0,0.135,2.1,0.726,351.8,70.09,0,1020,0,0,N/A,,,,,,,,,,,,,,,,,,,,,
2016,1,1,8,30,64,218,101,54,469,133,4,-3,80.29,4,0.135,2.9,0.73,349.1,65.15,2,1020,0,0,N/A,,,,,,,,,,,,,,,,,,,,,
2016,1,1,9,30,118,322,218,76,681,285,4,-3,72.09,4,0.135,2.9,0.732,351.9,56.97,4,1020,10.9486,8.4543,N/A,,,,,,,,,,,,,,,,,,,,,
2016,1,1,10,30,144,415,314,78,816,412,4,-3,65.87,0,0.135,2.4,0.728,8.5,50.36,7,1020,16.6387,12.9415,N/A,,,,,,,,,,,,,,,,,,,,,
2016,1,1,11,30,178,405,367,83,856,482,4,-2,62.25,4,0.135,1.8,0.723,29.8,45.77,8,1020,19.9533,15.5628,N/A,,,,,,,,,,,,,,,,,,,,,
2016,1,1,12,30,84,859,492,84,859,492,2,-2,61.69,4,0.135,1.4,0.723,48,45.04,9,1020,26.846,20.9465,N/A,,,,,,,,,,,,,,,,,,,,,
2016,1,1,13,30,79,838,443,79,838,443,1,-1,64.28,0,0.135,1.2,0.727,65.4,46.21,10,1010,23.7532,18.4995,N/A,,,,,,,,,,,,,,,,,,,,,
2016,1,1,14,30,73,762,338,73,762,338,1,-1,69.66,0,0.135,0.9,0.732,81.3,50.01,9,1010,17.356,13.446,N/A,,,,,,,,,,,,,,,,,,,,,
2016,1,1,15,30,58,606,192,58,606,192,1,0,77.23,0,0.135,0.6,0.737,89,58.79,7,1010,9.2282,7.0628,N/A,,,,,,,,,,,,,,,,,,,,,
2016,1,1,16,30,24,233,39,24,233,39,1,0,86.4,0,0.139,0.6,0.746,53.1,67.75,5,1010,0,0,N/A,,,,,,,,,,,,,,,,,,,,,
2016,1,1,17,30,0,0,0,0,0,0,1,-1,96.68,0,0.139,0.9,0.759,22.4,70.14,3,1020,0,0,N/A,,,,,,,,,,,,,,,,,,,,,
2016,1,1,18,30,0,0,0,0,0,0,4,-2,107.7,0,0.139,1.1,0.766,20.9,74.26,2,1020,0,0,N/A,,,,,,,,,,,,,,,,,,,,,
2016,1,1,19,30,0,0,0,0,0,0,4,-2,119.18,0,0.139,1.1,0.763,31.6,79.82,2,1020,0,0,N/A,,,,,,,,,,,,,,,,,,,,,
2016,1,1,20,30,0,0,0,0,0,0,4,-2,130.89,0,0.139,1.2,0.753,46.1,78.37,1,1020,0,0,N/A,,,,,,,,,,,,,,,,,,,,,
2016,1,1,21,30,0,0,0,0,0,0,1,-2,142.51,0,0.139,1.2,0.737,59.3,77.17,1,1020,0,0,N/A,,,,,,,,,,,,,,,,,,,,,
2016,1,1,22,30,0,0,0,0,0,0,8,-2,153.5,0,0.139,1.2,0.722,65.3,75.32,1,1010,0,0,N/A,,,,,,,,,,,,,,,,,,,,,
2016,1,1,23,30,0,0,0,0,0,0,8,-3,162.16,0,0.139,1.2,0.715,64.2,78.45,1,1010,0,0,N/A,,,,,,,,,,,,,,,,,,,,,
2016,1,2,0,30,0,0,0,0,0,0,4,-3,163.88,0,0.139,1.2,0.713,57.8,75.09,0,1010,0,0,N/A,,,,,,,,,,,,,,,,,,,,,
2016,1,2,1,30,0,0,0,0,0,0,4,-4,157,0,0.139,1.2,0.729,45.8,72.75,0,1010,0,0,N/A,,,,,,,,,,,,,,,,,,,,,
2016,1,2,2,30,0,0,0,0,0,0,4,-4,146.53,0,0.139,1.2,0.785,32.5,70.33,0,1010,0,0,N/A,,,,,,,,,,,,,,,,,,,,,
